,date,time,open,high,low,close,volume
136,01/10/2021,11:20:00,47328.69000000,47382.03000000,47236.78000000,47325.46000000,284.25206000
137,01/10/2021,11:25:00,47325.45000000,47428.03000000,47238.60000000,47387.09000000,327.41051000
138,01/10/2021,11:30:00,47387.09000000,47393.15000000,47252.58000000,47330.00000000,258.84355000
139,01/10/2021,11:35:00,47330.00000000,47455.00000000,47290.00000000,47426.05000000,355.39351000
140,01/10/2021,11:40:00,47426.06000000,47611.53000000,47350.89000000,47523.41000000,485.60671000
141,01/10/2021,11:45:00,47523.42000000,47659.32000000,47432.08000000,47457.69000000,496.81392000
142,01/10/2021,11:50:00,47457.68000000,47467.91000000,47340.12000000,47385.28000000,221.85074000
143,01/10/2021,11:55:00,47385.28000000,47537.82000000,47375.58000000,47488.08000000,323.80881000
144,01/10/2021,12:00:00,47488.07000000,47727.00000000,47429.88000000,47559.30000000,531.44576000
145,01/10/2021,12:05:00,47559.30000000,47699.11000000,47463.04000000,47623.22000000,339.05287000
146,01/10/2021,12:10:00,47625.06000000,47674.74000000,47542.61000000,47547.50000000,230.83283000
147,01/10/2021,12:15:00,47547.51000000,47688.57000000,47500.00000000,47669.21000000,351.48289000
148,01/10/2021,12:20:00,47669.22000000,47749.00000000,47589.66000000,47688.01000000,346.34796000
149,01/10/2021,12:25:00,47688.01000000,47886.11000000,47664.47000000,47685.09000000,684.20197000
150,01/10/2021,12:30:00,47685.09000000,47727.81000000,47455.77000000,47494.59000000,445.25044000
151,01/10/2021,12:35:00,47494.58000000,47508.84000000,47272.20000000,47460.72000000,686.18634000
152,01/10/2021,12:40:00,47460.72000000,47480.00000000,47185.08000000,47289.99000000,546.09907000
153,01/10/2021,12:45:00,47290.00000000,47332.65000000,47170.23000000,47250.00000000,484.93387000
154,01/10/2021,12:50:00,47250.00000000,47366.28000000,47175.00000000,47186.08000000,272.66338000
155,01/10/2021,12:55:00,47186.09000000,47265.69000000,47173.72000000,47214.37000000,237.60833000
156,01/10/2021,13:00:00,47214.37000000,47343.99000000,47214.37000000,47287.99000000,160.87000000
